textbox14,textbox79,textbox83,textbox81,textbox48
"Quarter 4 (10/01/2020-12/31/2020), Quarter 3 (07/01/2020-09/30/2020), Quarter 2 (04/01/2020-06/30/2020), Quarter 1 (01/01/2020-03/31/2020)",All,All,All,7/28/2023 2:40:52 PM

textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1
Period Ending  6/30/2020,Commercial Residential - (Apartment Buildings) - WIND ONLY,879,29,11,0,0,11,0,"868,251,005","7,009,819",879,0,"7,009,819",0,0,0,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Commercial Residential - (Condo Associations Only) - WIND ONLY,"1,490",37,22,0,0,50,0,"4,817,886,921","25,679,581","1,490",0,"25,679,581",0,0,0,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Commercial Residential - (Homeowners Association) - WIND ONLY,178,7,5,0,0,10,0,"388,106,430","1,999,450",178,0,"1,999,450",0,0,0,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Commercial Residential - Allied Lines (Condo Associations Only),892,1,68,0,0,76,0,"5,289,125,258","189,563,823",892,0,"189,563,823",0,0,0,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Commercial Residential - Allied Lines (Excl Condo Associations),176,0,1,0,0,10,3,"317,683,697","2,072,852",173,"776,874","2,068,497","4,355",3,0,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Commercial Residential - CMP (Condo Associations Only),"1,436",65,52,1,0,109,466,"22,045,993,310","93,128,748",970,"2,245,795,140","90,012,731","3,116,017",5,0,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Commercial Residential - CMP (Excl Condo Associations),"9,283",290,47,0,0,653,664,"2,375,243,419","20,719,388","8,619","346,794,490","18,217,710","2,501,678",4,3,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Commercial Residential - Dwelling/Fire (Condo Associations Only),"1,976",226,1,0,0,62,6,"26,590,902,460","73,771,264","1,970","17,944,394","73,749,131","22,133",0,0,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Commercial Residential - Dwelling/Fire (Excl Condo Associations),950,33,15,0,0,55,25,"10,630,191,321","28,317,514",925,"44,256,893","28,226,857","90,657",4,0,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Personal Residential - Allied Lines,"60,791","2,113","1,605",0,0,"4,167","13,691","8,422,566,655","106,615,748","47,100","7,693,245,210","78,310,128","28,305,620",0,0,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Personal Residential - Allied Lines - WIND ONLY DWELLINGS,"11,146",281,326,0,0,670,0,"4,133,262,727","31,267,595","11,146",0,"31,267,595",0,147,0,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Personal Residential - Condominium Unit Owners,"539,339","22,017","10,351",0,165,"49,064","63,160","64,353,446,638","580,333,742","476,179","14,686,025,471","517,724,278","62,609,464","2,774",0,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Personal Residential - Condominium Unit Owners - WIND ONLY,"20,147",669,525,0,0,"1,588",0,"3,205,041,689","22,128,908","20,147",0,"22,128,908",0,606,0,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Personal Residential - Dwelling/Fire,"279,778","7,583","4,659",0,0,"19,998","18,084","55,724,772,286","401,532,268","261,694","4,582,674,347","386,246,203","15,286,065","6,124",0,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Personal Residential - Dwelling/Fire - Mobile Homeowners,"41,766",909,395,0,0,"1,889","4,649","1,721,427,840","25,462,974","37,117","230,008,743","24,345,341","1,117,633",0,0,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY,259,3,2,0,0,8,0,"10,139,220","363,985",259,0,"363,985",0,0,0,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Personal Residential - Farmowners,"2,424",44,91,0,0,101,18,"1,481,259,532","11,266,183","2,406","12,682,914","11,180,807","85,376",163,163,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied,"1,557,249","64,675","34,025",0,472,"137,946","65,514","815,905,987,402","3,939,555,795","1,491,735","73,197,270,430","3,789,682,786","149,873,009","29,990",4,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
Period Ending  6/30/2020,Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY,"66,182","1,413","1,537",0,0,"4,339",0,"32,692,243,307","203,354,059","66,182",0,"203,354,059",0,"1,120",0,,,,,,,,,,,"3,564,425","196,352","60,593",1,652,"353,479","178,973","1,095,554,298,954","6,143,408,762","3,385,452","104,026,660,282","5,876,187,729","267,221,033","41,236",170,,,,,,,,,,
