textbox14,textbox79,textbox83,textbox81,textbox48
"Quarter 4 (10/01/2016-12/31/2016), Quarter 3 (07/01/2016-09/30/2016), Quarter 2 (04/01/2016-06/30/2016), Quarter 1 (01/01/2016-03/31/2016)",All,All,All,8/1/2023 9:26:51 AM

textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1
Period Ending  6/30/2016,Commercial Residential - (Apartment Buildings) - WIND ONLY,"2,516",92,279,0,0,96,0,"2,572,632,117","19,614,709","2,516",0,"19,614,709",0,0,0,,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  6/30/2016,Commercial Residential - (Condo Associations Only) - WIND ONLY,"3,572",115,512,0,0,120,0,"14,706,022,552","68,241,658","3,572",0,"68,241,658",0,0,0,,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  6/30/2016,Commercial Residential - (Homeowners Association) - WIND ONLY,194,8,31,0,0,8,0,"735,297,895","3,207,646",194,0,"3,207,646",0,0,0,,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  6/30/2016,Commercial Residential - Allied Lines (Condo Associations Only),"4,779",30,335,0,0,342,0,"54,503,770,264","300,687,851","4,779",0,"300,687,851",0,3,0,,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  6/30/2016,Commercial Residential - Allied Lines (Excl Condo Associations),837,13,25,0,0,37,5,"8,106,783,239","17,795,718",832,"1,791,040,405","17,734,274","61,444",4,1,,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  6/30/2016,Commercial Residential - CMP (Condo Associations Only),"4,410",405,158,0,0,556,"1,105","42,480,058,071","140,345,316","3,305","5,219,482,472","133,360,423","6,984,892",0,0,,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  6/30/2016,Commercial Residential - CMP (Excl Condo Associations),"8,018",188,132,0,0,801,947,"5,166,133,783","31,831,100","7,071","624,519,825","29,687,417","2,143,683",15,12,,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  6/30/2016,Commercial Residential - Dwelling/Fire (Condo Associations Only),"4,714",290,70,0,0,290,111,"35,205,189,622","161,635,421","4,603","282,074,553","160,933,406","702,015",10,4,,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  6/30/2016,Commercial Residential - Dwelling/Fire (Excl Condo Associations),"1,319",45,59,0,0,31,108,"5,303,301,139","20,884,600","1,211","185,852,391","20,562,425","322,175",0,16,,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  6/30/2016,Personal Residential - Allied Lines,"54,593","2,227","1,527",0,0,"4,577","2,765","8,738,967,371","82,274,586","51,828","3,145,144,809","72,036,090","10,238,496",0,0,,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
